Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Nov 7 2017,8:30p,Los Angeles Clippers,107,San Antonio Spurs,120,Box Score,,18418,
Tue Nov 7 2017,7:30p,Chicago Bulls,114,Toronto Raptors,119,Box Score,,19800,
Tue Nov 7 2017,9:00p,Philadelphia 76ers,104,Utah Jazz,97,Box Score,,16063,
Tue Nov 7 2017,7:00p,Dallas Mavericks,113,Washington Wizards,99,Box Score,,14505,
Wed Nov 8 2017,8:00p,Los Angeles Lakers,96,Boston Celtics,107,Box Score,,18624,
Wed Nov 8 2017,7:00p,Indiana Pacers,97,Detroit Pistons,114,Box Score,,14407,
Wed Nov 8 2017,10:30p,Minnesota Timberwolves,101,Golden State Warriors,125,Box Score,,19596,
Wed Nov 8 2017,7:00p,New York Knicks,99,Orlando Magic,112,Box Score,,18803,
Wed Nov 8 2017,9:00p,Miami Heat,126,Phoenix Suns,115,Box Score,,16500,
Thu Nov 9 2017,10:30p,Oklahoma City Thunder,94,Denver Nuggets,102,Box Score,,19520,
Thu Nov 9 2017,8:00p,Cleveland Cavaliers,113,Houston Rockets,117,Box Score,,18055,
Thu Nov 9 2017,10:00p,Philadelphia 76ers,108,Sacramento Kings,109,Box Score,,17583,
Thu Nov 9 2017,7:30p,New Orleans Pelicans,118,Toronto Raptors,122,Box Score,,19800,
Thu Nov 9 2017,7:00p,Los Angeles Lakers,95,Washington Wizards,111,Box Score,,20356,
Fri Nov 10 2017,7:30p,Charlotte Hornets,87,Boston Celtics,90,Box Score,,18624,
Fri Nov 10 2017,8:00p,Indiana Pacers,105,Chicago Bulls,87,Box Score,,22416,
Fri Nov 10 2017,7:00p,Atlanta Hawks,104,Detroit Pistons,111,Box Score,,16687,
Fri Nov 10 2017,9:00p,Los Angeles Clippers,111,Oklahoma City Thunder,120,Box Score,,18203,
Fri Nov 10 2017,9:00p,Orlando Magic,128,Phoenix Suns,112,Box Score,,16507,
Fri Nov 10 2017,10:00p,Brooklyn Nets,101,Portland Trail Blazers,97,Box Score,,19393,
Fri Nov 10 2017,9:00p,Milwaukee Bucks,94,San Antonio Spurs,87,Box Score,,18418,
Fri Nov 10 2017,9:00p,Miami Heat,84,Utah Jazz,74,Box Score,,18306,
Sat Nov 11 2017,8:30p,Cleveland Cavaliers,111,Dallas Mavericks,104,Box Score,,20378,
Sat Nov 11 2017,9:00p,Orlando Magic,107,Denver Nuggets,125,Box Score,,16688,
Sat Nov 11 2017,8:30p,Philadelphia 76ers,114,Golden State Warriors,135,Box Score,,19596,
Sat Nov 11 2017,8:00p,Memphis Grizzlies,96,Houston Rockets,111,Box Score,,18055,
Sat Nov 11 2017,8:30p,Los Angeles Lakers,90,Milwaukee Bucks,98,Box Score,,18717,
Sat Nov 11 2017,7:00p,Los Angeles Clippers,103,New Orleans Pelicans,111,Box Score,,17624,
Sat Nov 11 2017,8:00p,Sacramento Kings,91,New York Knicks,118,Box Score,,19812,
Sat Nov 11 2017,9:00p,Minnesota Timberwolves,110,Phoenix Suns,118,Box Score,,16910,
Sat Nov 11 2017,8:30p,Chicago Bulls,94,San Antonio Spurs,133,Box Score,,18418,
Sat Nov 11 2017,9:00p,Brooklyn Nets,106,Utah Jazz,114,Box Score,,17413,
Sat Nov 11 2017,7:00p,Atlanta Hawks,94,Washington Wizards,113,Box Score,,17260,
Sun Nov 12 2017,3:30p,Toronto Raptors,94,Boston Celtics,95,Box Score,,18624,
Sun Nov 12 2017,4:00p,Miami Heat,103,Detroit Pistons,112,Box Score,,16236,
Sun Nov 12 2017,6:00p,Houston Rockets,118,Indiana Pacers,95,Box Score,,15581,
Sun Nov 12 2017,7:00p,Dallas Mavericks,99,Oklahoma City Thunder,112,Box Score,,18203,
Mon Nov 13 2017,10:30p,Orlando Magic,100,Golden State Warriors,110,Box Score,,19596,
Mon Nov 13 2017,10:30p,Philadelphia 76ers,109,Los Angeles Clippers,105,Box Score,,19068,
Mon Nov 13 2017,8:00p,Memphis Grizzlies,103,Milwaukee Bucks,110,Box Score,,13244,
Mon Nov 13 2017,8:00p,Atlanta Hawks,105,New Orleans Pelicans,106,Box Score,,14631,
Mon Nov 13 2017,7:30p,Cleveland Cavaliers,104,New York Knicks,101,Box Score,,19812,
Mon Nov 13 2017,9:00p,Los Angeles Lakers,100,Phoenix Suns,93,Box Score,,17533,
Mon Nov 13 2017,10:00p,Denver Nuggets,82,Portland Trail Blazers,99,Box Score,,18895,
Mon Nov 13 2017,9:00p,Minnesota Timberwolves,109,Utah Jazz,98,Box Score,,17236,
Mon Nov 13 2017,7:00p,Sacramento Kings,92,Washington Wizards,110,Box Score,,14660,
Tue Nov 14 2017,7:30p,Boston Celtics,109,Brooklyn Nets,102,Box Score,,17732,
Tue Nov 14 2017,8:30p,San Antonio Spurs,97,Dallas Mavericks,91,Box Score,,19535,
Tue Nov 14 2017,8:00p,Toronto Raptors,129,Houston Rockets,113,Box Score,,18055,
Wed Nov 15 2017,7:30p,Sacramento Kings,80,Atlanta Hawks,126,Box Score,,13860,
Wed Nov 15 2017,8:00p,Cleveland Cavaliers,115,Charlotte Hornets,107,Box Score,,19427,
Wed Nov 15 2017,10:30p,Philadelphia 76ers,115,Los Angeles Lakers,109,Box Score,,18997,
Wed Nov 15 2017,8:00p,Indiana Pacers,116,Memphis Grizzlies,113,Box Score,,16033,
Wed Nov 15 2017,7:30p,Washington Wizards,102,Miami Heat,93,Box Score,,19600,
Wed Nov 15 2017,8:00p,Detroit Pistons,95,Milwaukee Bucks,99,Box Score,,14594,
Wed Nov 15 2017,8:00p,San Antonio Spurs,86,Minnesota Timberwolves,98,Box Score,,18978,
Wed Nov 15 2017,8:00p,Toronto Raptors,125,New Orleans Pelicans,116,Box Score,,15654,
Wed Nov 15 2017,7:30p,Utah Jazz,101,New York Knicks,106,Box Score,,18695,
Wed Nov 15 2017,8:00p,Chicago Bulls,79,Oklahoma City Thunder,92,Box Score,,18203,
Wed Nov 15 2017,10:00p,Orlando Magic,94,Portland Trail Blazers,99,Box Score,,19206,
Thu Nov 16 2017,8:00p,Golden State Warriors,88,Boston Celtics,92,Box Score,,18624,
Thu Nov 16 2017,10:30p,Houston Rockets,142,Phoenix Suns,116,Box Score,,16875,
Fri Nov 17 2017,7:30p,Utah Jazz,107,Brooklyn Nets,118,Box Score,,14495,
Fri Nov 17 2017,8:00p,Charlotte Hornets,120,Chicago Bulls,123,Box Score,,20493,
Fri Nov 17 2017,7:30p,Los Angeles Clippers,113,Cleveland Cavaliers,118,Box Score,OT,20562,
Fri Nov 17 2017,8:30p,Minnesota Timberwolves,111,Dallas Mavericks,87,Box Score,,19459,
Fri Nov 17 2017,10:30p,New Orleans Pelicans,114,Denver Nuggets,146,Box Score,,16816,
Fri Nov 17 2017,7:00p,Detroit Pistons,100,Indiana Pacers,107,Box Score,,17188,
Fri Nov 17 2017,10:30p,Phoenix Suns,122,Los Angeles Lakers,113,Box Score,,18997,
Fri Nov 17 2017,10:00p,Portland Trail Blazers,82,Sacramento Kings,86,Box Score,,17583,
Fri Nov 17 2017,8:00p,Oklahoma City Thunder,101,San Antonio Spurs,104,Box Score,,18418,
Fri Nov 17 2017,7:30p,New York Knicks,84,Toronto Raptors,107,Box Score,,19800,
Fri Nov 17 2017,7:00p,Miami Heat,91,Washington Wizards,88,Box Score,,17551,
Sat Nov 18 2017,7:30p,Boston Celtics,110,Atlanta Hawks,99,Box Score,,16381,
Sat Nov 18 2017,7:00p,Los Angeles Clippers,87,Charlotte Hornets,102,Box Score,,17640,
Sat Nov 18 2017,9:00p,Milwaukee Bucks,79,Dallas Mavericks,111,Box Score,,19949,
Sat Nov 18 2017,8:00p,Houston Rockets,105,Memphis Grizzlies,83,Box Score,,17266,
Sat Nov 18 2017,7:00p,Utah Jazz,125,Orlando Magic,85,Box Score,,19157,
Sat Nov 18 2017,7:30p,Golden State Warriors,124,Philadelphia 76ers,116,Box Score,,20848,
Sat Nov 18 2017,10:00p,Sacramento Kings,90,Portland Trail Blazers,102,Box Score,,19522,
Sun Nov 19 2017,6:00p,Golden State Warriors,118,Brooklyn Nets,111,Box Score,,17732,
Sun Nov 19 2017,9:30p,Denver Nuggets,109,Los Angeles Lakers,127,Box Score,,18997,
Sun Nov 19 2017,5:00p,Indiana Pacers,120,Miami Heat,95,Box Score,,19600,
Sun Nov 19 2017,7:00p,Detroit Pistons,100,Minnesota Timberwolves,97,Box Score,,16069,
Sun Nov 19 2017,8:00p,Chicago Bulls,105,Phoenix Suns,113,Box Score,,16264,
Sun Nov 19 2017,3:30p,Washington Wizards,91,Toronto Raptors,100,Box Score,,19800,
Mon Nov 20 2017,7:00p,Minnesota Timberwolves,102,Charlotte Hornets,118,Box Score,,15978,
Mon Nov 20 2017,8:30p,Boston Celtics,110,Dallas Mavericks,102,Box Score,OT,20302,
Mon Nov 20 2017,7:00p,Cleveland Cavaliers,116,Detroit Pistons,88,Box Score,,20491,
Mon Nov 20 2017,8:00p,Portland Trail Blazers,100,Memphis Grizzlies,92,Box Score,,15785,
Mon Nov 20 2017,8:00p,Washington Wizards,99,Milwaukee Bucks,88,Box Score,,16122,
Mon Nov 20 2017,8:00p,Oklahoma City Thunder,107,New Orleans Pelicans,114,Box Score,,16765,
Mon Nov 20 2017,7:30p,Los Angeles Clippers,85,New York Knicks,107,Box Score,,18848,
Mon Nov 20 2017,7:00p,Indiana Pacers,105,Orlando Magic,97,Box Score,,17239,
Mon Nov 20 2017,7:00p,Utah Jazz,86,Philadelphia 76ers,107,Box Score,,20587,
Mon Nov 20 2017,10:00p,Denver Nuggets,114,Sacramento Kings,98,Box Score,,17583,
Mon Nov 20 2017,8:30p,Atlanta Hawks,85,San Antonio Spurs,96,Box Score,,18418,
Tue Nov 21 2017,10:30p,Chicago Bulls,94,Los Angeles Lakers,103,Box Score,,18997,
Wed Nov 22 2017,7:30p,Los Angeles Clippers,116,Atlanta Hawks,103,Box Score,,12675,
Wed Nov 22 2017,7:00p,Washington Wizards,124,Charlotte Hornets,129,Box Score,OT,16041,
Wed Nov 22 2017,7:00p,Brooklyn Nets,109,Cleveland Cavaliers,119,Box Score,,20562,
Wed Nov 22 2017,8:00p,Denver Nuggets,95,Houston Rockets,125,Box Score,,18055,
Wed Nov 22 2017,8:00p,Dallas Mavericks,95,Memphis Grizzlies,94,Box Score,,16101,
Wed Nov 22 2017,7:30p,Boston Celtics,98,Miami Heat,104,Box Score,,19704,
Wed Nov 22 2017,8:00p,Orlando Magic,118,Minnesota Timberwolves,124,Box Score,,16402,
Wed Nov 22 2017,8:00p,San Antonio Spurs,90,New Orleans Pelicans,107,Box Score,,17539,
Wed Nov 22 2017,7:30p,Toronto Raptors,100,New York Knicks,108,Box Score,,19812,
Wed Nov 22 2017,8:00p,Golden State Warriors,91,Oklahoma City Thunder,108,Box Score,,18203,
Wed Nov 22 2017,7:00p,Portland Trail Blazers,81,Philadelphia 76ers,101,Box Score,,20605,
Wed Nov 22 2017,9:00p,Milwaukee Bucks,113,Phoenix Suns,107,Box Score,OT,16270,
Wed Nov 22 2017,10:30p,Los Angeles Lakers,102,Sacramento Kings,113,Box Score,,17583,
Wed Nov 22 2017,9:00p,Chicago Bulls,80,Utah Jazz,110,Box Score,,17434,
Fri Nov 24 2017,7:30p,New York Knicks,104,Atlanta Hawks,116,Box Score,,14355,
Fri Nov 24 2017,7:30p,Orlando Magic,103,Boston Celtics,118,Box Score,,18624,
Fri Nov 24 2017,12:00p,Portland Trail Blazers,127,Brooklyn Nets,125,Box Score,,15246,
Fri Nov 24 2017,8:00p,Charlotte Hornets,99,Cleveland Cavaliers,100,Box Score,,20562,
Fri Nov 24 2017,9:00p,Memphis Grizzlies,92,Denver Nuggets,104,Box Score,,16736,
Fri Nov 24 2017,10:30p,Chicago Bulls,94,Golden State Warriors,143,Box Score,,19596,
Fri Nov 24 2017,8:00p,Toronto Raptors,104,Indiana Pacers,107,Box Score,,16523,
Fri Nov 24 2017,8:00p,Miami Heat,109,Minnesota Timberwolves,97,Box Score,,18978,
